Search_Parm,Resource,Search_Pram_Type,Expression
software,CapabilityStatement,string,CapabilityStatement.software.name
status,CapabilityStatement,token,CapabilityStatement.status
status,CodeSystem,token,CodeSystem.status
status,CompartmentDefinition,token,CompartmentDefinition.status
status,ConceptMap,token,ConceptMap.status
status,GraphDefinition,token,GraphDefinition.status
status,ImplementationGuide,token,ImplementationGuide.status
status,MessageDefinition,token,MessageDefinition.status
status,NamingSystem,token,NamingSystem.status
status,OperationDefinition,token,OperationDefinition.status
status,SearchParameter,token,SearchParameter.status
status,StructureDefinition,token,StructureDefinition.status
status,StructureMap,token,StructureMap.status
status,TerminologyCapabilities,token,TerminologyCapabilities.status
status,ValueSet,token,ValueSet.status
supported-profile,CapabilityStatement,reference,CapabilityStatement.rest.resource.supportedProfile
title,CapabilityStatement,string,CapabilityStatement.title
title,CodeSystem,string,CodeSystem.title
title,ConceptMap,string,ConceptMap.title
title,ImplementationGuide,string,ImplementationGuide.title
title,MessageDefinition,string,MessageDefinition.title
title,OperationDefinition,string,OperationDefinition.title
title,StructureDefinition,string,StructureDefinition.title
title,StructureMap,string,StructureMap.title
title,TerminologyCapabilities,string,TerminologyCapabilities.title
title,ValueSet,string,ValueSet.title
url,CapabilityStatement,uri,CapabilityStatement.url
url,CodeSystem,uri,CodeSystem.url
url,CompartmentDefinition,uri,CompartmentDefinition.url
url,ConceptMap,uri,ConceptMap.url
url,GraphDefinition,uri,GraphDefinition.url
url,ImplementationGuide,uri,ImplementationGuide.url
url,MessageDefinition,uri,MessageDefinition.url
url,OperationDefinition,uri,OperationDefinition.url
url,SearchParameter,uri,SearchParameter.url
url,StructureDefinition,uri,StructureDefinition.url
url,StructureMap,uri,StructureMap.url
url,TerminologyCapabilities,uri,TerminologyCapabilities.url
url,ValueSet,uri,ValueSet.url
version,CapabilityStatement,token,CapabilityStatement.version
version,CodeSystem,token,CodeSystem.version
version,CompartmentDefinition,token,CompartmentDefinition.version
version,ConceptMap,token,ConceptMap.version
version,GraphDefinition,token,GraphDefinition.version
version,ImplementationGuide,token,ImplementationGuide.version
version,MessageDefinition,token,MessageDefinition.version
version,OperationDefinition,token,OperationDefinition.version
version,SearchParameter,token,SearchParameter.version
version,StructureDefinition,token,StructureDefinition.version
version,StructureMap,token,StructureMap.version
version,TerminologyCapabilities,token,TerminologyCapabilities.version
version,ValueSet,token,ValueSet.version
context-type-quantity,CapabilityStatement,composite,CapabilityStatement.useContext
context-type-quantity,CodeSystem,composite,CodeSystem.useContext
context-type-quantity,CompartmentDefinition,composite,CompartmentDefinition.useContext
context-type-quantity,ConceptMap,composite,ConceptMap.useContext
context-type-quantity,GraphDefinition,composite,GraphDefinition.useContext
context-type-quantity,ImplementationGuide,composite,ImplementationGuide.useContext
context-type-quantity,MessageDefinition,composite,MessageDefinition.useContext
context-type-quantity,NamingSystem,composite,NamingSystem.useContext
context-type-quantity,OperationDefinition,composite,OperationDefinition.useContext
context-type-quantity,SearchParameter,composite,SearchParameter.useContext
context-type-quantity,StructureDefinition,composite,StructureDefinition.useContext
context-type-quantity,StructureMap,composite,StructureMap.useContext
context-type-quantity,TerminologyCapabilities,composite,TerminologyCapabilities.useContext
context-type-quantity,ValueSet,composite,ValueSet.useContext
context-type-value,CapabilityStatement,composite,CapabilityStatement.useContext
context-type-value,CodeSystem,composite,CodeSystem.useContext
context-type-value,CompartmentDefinition,composite,CompartmentDefinition.useContext
